brand,film_category,film_name,source_url,review_status
GeoShield,architectural_window_film,20/20 Interior and Exterior Films,https://geoshieldusa.com/products/20-20-interior-and-exterior-films,needs_review
GeoShield,architectural_window_film,8Mil Clear Safety Film,https://geoshieldusa.com/products/8mil-clear-safety-film,needs_review
GeoShield,architectural_window_film,Astro,https://geoshieldusa.com/products/astro,needs_review
GeoShield,architectural_window_film,Blackout Privacy Film,https://geoshieldusa.com/products/black-out,needs_review
GeoShield,architectural_window_film,White Frost,https://geoshieldusa.com/products/frost,needs_review
GeoShield,architectural_window_film,Geo,https://geoshieldusa.com/products/geo,needs_review
GeoShield,architectural_window_film,Geoshield Blister Free Film,https://geoshieldusa.com/products/geoshield-blister-free-film,needs_review
GeoShield,architectural_window_film,Lunar,https://geoshieldusa.com/products/lunar,needs_review
GeoShield,architectural_window_film,Solar Bronze,https://geoshieldusa.com/products/solar-bronze-20,needs_review
GeoShield,architectural_window_film,Super Alloy,https://geoshieldusa.com/products/super-alloy,needs_review
GeoShield,architectural_window_film,Ultra,https://geoshieldusa.com/products/ultra,needs_review
Rogue,automotive_window_film,Eclipse Carbon Ceramic,https://roguewindowfilms.com/auto-films/eclipse-carbon-ceramic,needs_review
Rogue,automotive_window_film,Decorative Films,https://roguewindowfilms.com/architectural-film/decorative-films,needs_review
Rogue,automotive_window_film,Eclipse Carbon,https://roguewindowfilms.com/auto-films/eclipse-carbon,needs_review
Rogue,automotive_window_film,Next-level comfort,https://roguewindowfilms.com/auto-films,needs_review
Rogue,architectural_window_film,Eclipse Carbon Ceramic,https://roguewindowfilms.com/auto-films/eclipse-carbon-ceramic,needs_review
Rogue,architectural_window_film,Decorative Films,https://roguewindowfilms.com/architectural-film/decorative-films,needs_review
Rogue,architectural_window_film,Eclipse Carbon,https://roguewindowfilms.com/auto-films/eclipse-carbon,needs_review
